World size,No. UAV + UGV,Headless,CPU Usage (%),Memory Usage (MB),Memory Usage (%),Speedup,CPU Usage (%) std,Memory Usage (MB) std,Memory Usage (%) std,Speedup std
small,60,False,25.3525,551.866,1.6841554641723633,162.31160803866132,0.29952045005308037,1.0986646440110746,0.003348074339099687,8.640447224581111
small,60,True,13.27,344.53000000000003,1.0514187812805176,220.1255749164223,0.037583240945932524,1.8770082578401195,0.005732351202380378,14.570020072326097
small,90,False,25.432499999999997,551.0580000000001,1.6816926002502441,106.4470382195556,0.33153054157950557,1.77286660524699,0.0054120261233252115,16.14231061251023
small,90,True,13.2975,344.584,1.0515904426574707,153.27226564492997,0.04834769901453415,1.1583540046117136,0.0035339102791507614,6.838263519942605
small,120,False,25.0,551.49,1.6830182075500488,83.43842690913993,1.2150360076968914,1.076234175261114,0.003286696750145857,8.747045322902208
small,120,True,13.3475,345.5,1.054379940032959,121.02134669463324,0.06680194607943667,1.7840964099509886,0.005442513920558906,4.844719253901576
small,150,False,24.919999999999998,553.334,1.6886472702026367,59.69466306017258,1.1099718464898103,0.9453803467388182,0.002877812000622248,10.228500539215709
small,150,True,13.3375,344.106,1.0501337051391602,98.86330424671019,0.05968668193156679,1.4989009306822185,0.004572540168004387,3.3218977028992733
small,180,False,25.452500000000004,550.058,1.6786432266235352,54.39369291419107,0.2956349099818889,4.495661908996246,0.013723928027447829,8.188620260428042
small,180,True,13.3125,345.26200000000006,1.0536527633666992,80.21360268574416,0.07373940601876303,1.5016710691759418,0.004578936660487766,5.176646573450119
small,210,False,25.3675,552.2360000000001,1.6852903366088867,45.39000759877227,0.38378053624434927,0.9635268548411188,0.0029455030611692146,5.537700124370845
small,210,True,13.3275,346.254,1.056678295135498,69.56755690037839,0.06144102863722269,2.137424618553832,0.006526891387923065,3.7929670817997345
medium,60,False,25.5125,582.2,1.776728630065918,154.99347259989472,0.1874166481399128,2.074116679456584,0.006327614715950798,24.09985454172069
medium,60,True,13.344999999999999,370.948,1.132042407989502,220.4974313659493,0.046502688094345525,6.21150674152416,0.018954337917685957,7.958770949356752
medium,90,False,25.514999999999997,584.196,1.782824993133545,110.4509103941562,0.21351229472796163,2.806845916682996,0.008569555771384015,10.43020743880906
medium,90,True,13.305000000000001,372.688,1.1373591423034668,154.6888271940733,0.02806243040080455,2.7171117017892192,0.008298239391078183,5.531954338813417
medium,120,False,25.5,582.852,1.778714656829834,80.45510635401504,0.26727794521808107,1.4858855945193075,0.0045330739563763135,13.921109317870759
medium,120,True,13.285,372.542,1.1369085311889648,117.90597471635365,0.0450000000000004,3.2400086419637844,0.00988890427925671,4.7655096949653295
medium,150,False,25.5375,584.3779999999999,1.7833828926086426,63.67862588194606,0.1962141687034855,5.100836794095667,0.015563544099393978,7.352445056054565
medium,150,True,13.309999999999999,374.72799999999995,1.1435794830322266,96.6442935609065,0.06538348415311031,4.7903043744630605,0.014623068035381909,2.34108208060988
medium,180,False,25.415,585.5260000000001,1.7868900299072266,56.7703323798353,0.23444082409000394,4.937293185542066,0.015064038650017023,1.4074322353043094
medium,180,True,13.2875,376.56399999999996,1.1491799354553223,80.39621430573496,0.037914377220257825,4.351590973425678,0.013276088478385215,3.625688941305327
medium,210,False,25.464999999999996,586.8980000000001,1.791074275970459,46.914714044949015,0.20907534527055127,2.4376496877115144,0.007436173433127596,4.5418083197609285
medium,210,True,13.329999999999998,372.786,1.1376571655273438,70.38366606051969,0.03409545424246476,5.0951961689418725,0.01555547324808493,2.0641021213542428
large,60,False,25.43,623.1160000000001,1.9015955924987793,152.98549763299624,0.22158519806160334,3.827430469649325,0.011685051447047354,22.88319427013396
large,60,True,13.2875,406.376,1.2401604652404785,222.1646574546186,0.053033008588991064,7.26552847355234,0.022172637394058777,9.13337515203809
large,90,False,25.485,625.094,1.907639503479004,106.8236022078185,0.2008419776839492,6.163887085273365,0.018807727249044753,16.12822473708892
large,90,True,13.267500000000002,399.8059999999999,1.2201142311096191,158.2623280553209,0.04716990566028296,6.054907431166888,0.018473936487132744,3.50870598275795
large,120,False,25.392500000000002,620.3860000000001,1.8932723999023438,81.0716750266292,0.19710403344427033,2.156966388240667,0.006579261668592095,5.811599130810846
large,120,True,13.3,403.416,1.2311244010925293,121.65712009317704,0.032596012026013164,5.971638301169959,0.01822967133811757,1.5621509639702078
large,150,False,25.4775,625.948,1.910245418548584,64.02642393733478,0.12434830115445834,5.826269475401902,0.017779509843882674,3.5552079405329695
large,150,True,13.2875,406.938,1.2418770790100098,96.31809269416517,0.10185774393731721,6.39059746815586,0.019506261472958617,3.773516966158314
large,180,False,25.477500000000003,629.6020000000001,1.921393871307373,48.49090209569066,0.1919309771766918,4.948249791592986,0.015099026967449839,10.066838185357836
large,180,True,13.3475,408.47400000000005,1.2465620040893555,79.54375581930205,0.10350120772242272,4.927569786416025,0.015040715758880606,3.7682539278089875
large,210,False,25.369999999999997,628.2239999999999,1.9171810150146484,42.37581843825112,0.2587952858921506,5.0908529737166885,0.015535910402077994,7.092699990981349
large,210,True,13.319999999999999,406.992,1.2420392036437988,66.67079418109138,0.0930725523449318,5.419141629446492,0.016544911924169202,1.87746519260411
